"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Shc3",1.28652191136314e-69,-1.00408662496356,0.298,0.42,4.15353599083588e-65
"Slit3",1.71009530681115e-69,-1.47288885316809,0.271,0.378,5.52104269803979e-65
"Gm26543",3.80024194532762e-69,1.57421074677982,0.108,0.045,1.22690811204902e-64
"Sox9",4.11359116787873e-69,-2.58029204255835,0.029,0.116,1.32807290854965e-64
"Plekhg5",4.89389938793217e-69,-1.22100367457087,0.132,0.249,1.5799954173939e-64
"Pitpnm3",5.28648022506413e-69,1.02091978652937,0.325,0.221,1.70674014066195e-64
"Lrrc75a",7.54143936338543e-69,-1.32817734506653,0.048,0.145,2.43475369846899e-64
"Nxph3",1.35847262215407e-68,-2.8965752189876,0.019,0.1,4.3858288606244e-64
"Gm44643",1.81392613630473e-68,-1.13816803857044,0.065,0.171,5.85626053105983e-64
"Dbpht2",1.8818595604896e-68,-1.34390104973829,0.07,0.174,6.07558359104068e-64
"2610203C22Rik",4.28974251027923e-68,-2.55984886888332,0.034,0.123,1.38494336944365e-63
"Gm16083",7.61997519977591e-68,1.04785916843789,0.324,0.222,2.46010899324765e-63
"Iqgap2",1.20757681947529e-67,1.03806879857449,0.324,0.221,3.89866176167598e-63
"Ak4",1.23989982065281e-67,-1.90188101250092,0.028,0.114,4.0030165709776e-63
"Etv5",2.12766169269095e-67,-1.10304520818308,0.2,0.318,6.86915577485273e-63
"Plat",2.48473997208729e-67,-1.94574352094449,0.049,0.144,8.02198299988383e-63
"Atp6ap1l",3.1749031813121e-67,-1.7708382846824,0.031,0.119,1.02501749208661e-62
"Phyhd1",6.43949766327341e-67,-1.49293815293302,0.063,0.165,2.07899182058782e-62
"Abi3bp",6.86408937168781e-67,-2.3771100982845,0.026,0.109,2.21607125364941e-62
"Nrip3",1.20437942090103e-66,1.22096036293671,0.278,0.182,3.88833896037899e-62
"Myh9",1.6740743148285e-66,-1.49961621751194,0.141,0.257,5.40474892542383e-62
"Pls1",2.17767072708893e-66,-2.49274643701478,0.033,0.12,7.03060994240661e-62
"Fgfr1",4.00012420579994e-66,-1.910052248692,0.124,0.227,1.29144009984251e-61
"Gm9962",1.02913510550637e-65,1.71593873239122,0.125,0.058,3.32256268812731e-61
"Hes1",1.89550517335335e-65,-2.40269405846372,0.052,0.144,6.11963845217131e-61
"4930452B06Rik",3.95059228446119e-65,1.21861750392742,0.188,0.104,1.2754487190383e-60
"Spsb1",4.98167482616223e-65,-2.90648081635289,0.024,0.105,1.60833371762647e-60
"Nptxr",5.96430922150436e-65,-1.0963352115299,0.255,0.367,1.92557723216268e-60
"Stxbp3",7.06230736210878e-65,-1.914829066864,0.071,0.169,2.28006593185682e-60
"Scg2",1.1620861466896e-64,1.08593710682214,0.359,0.26,3.75179512458736e-60
"Selenop",1.6486137338184e-64,-3.87377427872589,0.024,0.103,5.3225494396327e-60
"Itgb5",1.84114947427321e-64,-4.08926704536344,0.023,0.101,5.94415107769107e-60
"Pip5k1b",2.80166413355192e-64,1.10178083264974,0.302,0.202,9.04517265517236e-60
"Cyp2j6",3.26327520163144e-64,-2.6473132540372,0.037,0.122,1.05354839884671e-59
"Hes5",4.04484346521546e-64,-3.64890156125005,0.023,0.101,1.30587771274481e-59
"Mpp5",1.39225191757664e-63,-1.39163291737886,0.146,0.257,4.49488531589617e-59
"Zeb1",5.41705995554886e-63,-1.37496038161952,0.391,0.489,1.74889780664895e-58
"Bcar3",8.05820743752508e-63,-2.0154992244885,0.045,0.133,2.60159227120497e-58
"Traip",1.53874198287184e-62,-1.46774917020562,0.047,0.138,4.96782849170173e-58
"Fndc5",5.20170302052805e-62,1.04909639145418,0.219,0.13,1.67936982017748e-57
"Rtn4rl1",5.76797467866988e-62,-1.29308158792481,0.148,0.259,1.86219062500857e-57
"Megf10",6.79450608377216e-62,-2.94099389987363,0.024,0.101,2.19360628914584e-57
"Oma1",7.41410325961853e-62,-1.67962297960264,0.084,0.181,2.39364323736784e-57
"Cobll1",1.06136663592401e-61,-3.39971060782613,0.024,0.101,3.42662218408066e-57
"Col4a2",1.07558230582384e-61,-1.55614841360832,0.164,0.283,3.47251747435227e-57
"Vav3",1.52822379507047e-61,-1.43923766005072,0.116,0.222,4.93387052238501e-57
"Gm28905",4.07809927229176e-61,-1.45629230383021,0.105,0.208,1.31661435005939e-56
"Itpkb",5.16589172128811e-61,-3.05263599005774,0.027,0.105,1.66780814221787e-56
"Cntn2",8.60009525197787e-61,-1.94521797513848,0.168,0.27,2.77654075210105e-56
"Tank",9.90955223215769e-61,-1.15308574780129,0.191,0.306,3.19929893815211e-56
"Spint2",1.0320245345808e-60,-1.32108072464007,0.039,0.126,3.33189120989412e-56
"Atp8b1",1.2348995769085e-60,-2.37507016036431,0.028,0.106,3.9868732840491e-56
"Gm37459",1.23556981578917e-60,-1.29358441686067,0.07,0.167,3.98903715027532e-56
"Angpt1",2.02403634295174e-60,-1.44807577041968,0.082,0.18,6.5346013332197e-56
"Fam53b",6.4126471913629e-60,-2.19936013504271,0.027,0.105,2.07032314573151e-55
"Nim1k",6.51641455870477e-60,-1.40123635439017,0.163,0.274,2.10382444027783e-55
"Suclg2",1.88486632375686e-59,-2.19396107778599,0.05,0.136,6.08529092624902e-55
"Kif13a",2.48687808944771e-59,-1.05672765129003,0.261,0.378,8.02888591178193e-55
"Col25a1",2.86849906175431e-59,1.75888381059665,0.223,0.142,9.26094922087378e-55
"Igfbp5",3.52188059019396e-59,-1.37771212196129,0.091,0.193,1.13703914854412e-54
"Enpp2",3.74721886689094e-59,-1.638098498119,0.2,0.303,1.20978961117574e-54
"Foxp4",4.27724678423573e-59,-1.54076863347612,0.061,0.152,1.3809091242905e-54
"Tnfrsf11a",5.57282379192623e-59,-2.55180768013048,0.026,0.103,1.79918616122338e-54
"4933424G05Rik",5.82681732014571e-59,-1.02355376787778,0.108,0.214,1.88118797180904e-54
"Sfrp1",1.01683205364684e-58,-1.78381582885489,0.066,0.158,3.28284228519882e-54
"Ppil6",2.49258763546341e-58,-1.50685250239059,0.045,0.13,8.04731918109362e-54
"Tmod1",3.75192409878127e-58,-1.52017431524397,0.074,0.168,1.21130869529153e-53
"Tjp2",4.60767616434445e-58,-1.90612737408085,0.117,0.213,1.48758824965861e-53
"Zfhx3",5.85202387363921e-58,-2.53524478613801,0.054,0.14,1.88932590760442e-53
"Cckbr",7.08923719312436e-58,-1.70327419067107,0.055,0.141,2.2887602278002e-53
"Inpp5j",7.25233996843281e-58,1.23520883131428,0.115,0.054,2.34141795880853e-53
"Trpc6",7.45180270229517e-58,1.66779585460691,0.156,0.085,2.40581450243599e-53
"Cemip",1.38662966136622e-57,2.13428218718622,0.213,0.135,4.47673386172083e-53
"9430041J12Rik",1.82219354168747e-57,-2.56579246132923,0.038,0.117,5.88295184933799e-53
"Epn2",1.88000098219181e-57,-1.09581002149369,0.442,0.553,6.06958317100624e-53
"Pou6f2",2.04487489505644e-57,-1.20455199608544,0.061,0.151,6.60187859868972e-53
"Crlf1",3.00124642209301e-57,-2.16865154236757,0.031,0.107,9.68952407372727e-53
"Baz1a",5.15528757431183e-57,-1.96501080714746,0.025,0.1,1.66438459336658e-52
"Cflar",6.64479572179462e-57,-2.44930893317889,0.036,0.113,2.14527229878139e-52
"Sema6c",9.40245516490939e-57,1.08711778486286,0.235,0.145,3.035582649991e-52
"Pde8b",1.8594701143824e-56,-1.08903787029649,0.318,0.418,6.00329926428358e-52
"Amn",1.86684084159643e-56,1.17174038513593,0.134,0.067,6.02709565709409e-52
"Nipal2",3.03050810070981e-56,1.10813006760382,0.247,0.16,9.78399540314164e-52
"Aifm3",3.21784807644488e-56,-2.52062315310346,0.044,0.123,1.03888225148023e-51
"Ptger3",3.4125086055477e-56,-1.62997625119381,0.035,0.114,1.10172840330107e-51
"Kcnip2",5.12435395959984e-56,1.52703040548531,0.242,0.162,1.65439767585681e-51
"Cpped1",6.07749683800951e-56,-1.03460576709024,0.124,0.229,1.96211985415137e-51
"Gulp1",6.10700948193372e-56,-2.64984818233157,0.041,0.119,1.9716480112423e-51
"Phyhip",7.03964549653388e-56,-1.42824788296985,0.055,0.14,2.27274954855596e-51
"Runx2",7.54854323464671e-56,1.40851793156672,0.357,0.275,2.43704718330569e-51
